"Year-Month","Total de certificados de admissibilidade emitidos","Total de alertas por SMS enviados","EoMonth"
"2016-01","N/A","N/A","2016/01/31"
"2016-02","N/A","N/A","2016/02/29"
"2016-03","N/A","N/A","2016/03/31"
"2016-04","N/A","N/A","2016/04/30"
"2016-05","N/A","N/A","2016/05/31"
"2016-06","N/A","N/A","2016/06/30"
"2016-07","N/A","N/A","2016/07/31"
"2016-08","N/A","N/A","2016/08/31"
"2016-09","N/A","N/A","2016/09/30"
"2016-10","N/A","N/A","2016/10/31"
"2016-11","N/A","N/A","2016/11/30"
"2016-12","N/A","N/A","2016/12/31"
"2017-01","N/A","N/A","2017/01/31"
"2017-02","N/A","N/A","2017/02/28"
"2017-03","4904","484","2017/03/31"
"2017-04","3107","711","2017/04/30"
"2017-05","4214","768","2017/05/31"
"2017-06","3351","778","2017/06/30"
"2017-07","3458","581","2017/07/31"
"2017-08","3225","843","2017/08/31"
"2017-09","3313","529","2017/09/30"
"2017-10","3369","686","2017/10/31"
"2017-11","3515","579","2017/11/30"
"2017-12","3515","577","2017/12/31"
"2018-01","4864","610","2018/01/31"
"2018-02","3880","670","2018/02/28"
"2018-03","5152","707","2018/03/31"
"2018-04","3784","792","2018/04/30"
"2018-05","4648","705","2018/05/31"
"2018-06","3492","850","2018/06/30"
"2018-07","3992","633","2018/07/31"
"2018-08","3342","761","2018/08/31"
"2018-09","3466","576","2018/09/30"
"2018-10","4229","708","2018/10/31"
"2018-11","4781","595","2018/11/30"
"2018-12","4597","595","2018/12/31"
"2019-01","5533","658","2019/01/31"
"2019-02","4859","818","2019/02/28"
"2019-03","5128","623","2019/03/31"
"2019-04","4698","767","2019/04/30"
"2019-05","4489","641","2019/05/31"
"2019-06","3182","946","2019/06/30"
"2019-07","3904","788","2019/07/31"
"2019-08","2920","722","2019/08/31"
"2019-09","3502","499","2019/09/30"
"2019-10","4421","514","2019/10/31"
"2019-11","4056","453","2019/11/30"
"2019-12","3845","577","2019/12/31"
"2020-01","5405","685","2020/01/31"
"2020-02","4204","634","2020/02/29"
"2020-03","3247","558","2020/03/31"
"2020-04","2126","0","2020/04/30"
"2020-05","2921","0","2020/05/31"
"2020-06","3336","0","2020/06/30"
"2020-07","3832","0","2020/07/31"
"2020-08","2607","0","2020/08/31"
"2020-09","4298","0","2020/09/30"
"2020-10","4421","0","2020/10/31"
"2020-11","3863","0","2020/11/30"
"2020-12","3156","0","2020/12/31"
"2021-01","5219","0","2021/01/31"
"2021-02","4448","0","2021/02/28"
"2021-03","4982","0","2021/03/31"
"2021-04","4867","0","2021/04/30"
"2021-05","4474","0","2021/05/31"
"2021-06","3681","0","2021/06/30"
"2021-07","3740","0","2021/07/31"
"2021-08","3420","0","2021/08/31"
"2021-09","3775","0","2021/09/30"
"2021-10","3954","0","2021/10/31"
"2021-11","4302","0","2021/11/30"
"2021-12","4249","0","2021/12/31"
"2022-01","5522","477","2022/01/31"
"2022-02","5064","496","2022/02/28"
"2022-03","5245","597","2022/03/31"
"2022-04","4387","746","2022/04/30"
"2022-05","4627","566","2022/05/31"
"2022-06","3762","665","2022/06/30"
"2022-07","4000","531","2022/07/31"
"2022-08","3732","589","2022/08/31"
"2022-09","4431","547","2022/09/30"
"2022-10","4473","512","2022/10/31"
"2022-11","4677","536","2022/11/30"
"2022-12","4224","567","2022/12/31"
"2023-01","5917","489","2023/01/31"
"2023-02","5066","479","2023/02/28"
"2023-03","6177","409","2023/03/31"
"2023-04","3961","672","2023/04/30"
"2023-05","4758","525","2023/05/31"
"2023-06","4207","694","2023/06/30"
"2023-07","4033","466","2023/07/31"
"2023-08","3308","594","2023/08/31"
"2023-09","4230","521","2023/09/30"
"2023-10","5224","447","2023/10/31"
"2023-11","5976","379","2023/11/30"
"2023-12","4200","571","2023/12/31"
"2024-01","5634","732","2024/01/31"
"2024-02","4714","752","2024/02/29"
"2024-03","5219","499","2024/03/31"
"2024-04","4663","641","2024/04/30"
"2024-05","4490","500","2024/05/31"
"2024-06","3791","587","2024/06/30"
"2024-07","4698","515","2024/07/31"
"2024-08","3607","560","2024/08/31"
